PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID),PUWeekday
Queens,Long Island City/Hunters Point,17470,145,17470,Tuesday
Manhattan,Manhattanville,17444,152,17444,Friday
Queens,Long Island City/Hunters Point,17435,145,17435,Monday
Brooklyn,Fort Greene,17354,97,17354,Friday
Manhattan,Hamilton Heights,17237,116,17237,Thursday
Brooklyn,Williamsburg (South Side),17107,256,17107,Friday
Brooklyn,Boerum Hill,16869,25,16869,Thursday
Brooklyn,Brooklyn Heights,16787,33,16787,Sunday
Manhattan,Washington Heights South,16674,244,16674,Saturday
Brooklyn,Park Slope,16666,181,16666,Wednesday
Brooklyn,Brooklyn Heights,16652,33,16652,Tuesday
Brooklyn,East Williamsburg,16555,80,16555,Sunday
Manhattan,Washington Heights South,16071,244,16071,Thursday
Manhattan,Hamilton Heights,16048,116,16048,Wednesday
Brooklyn,East Williamsburg,15694,80,15694,Saturday
Brooklyn,Brooklyn Heights,15538,33,15538,Monday
Queens,Long Island City/Queens Plaza,15504,146,15504,Thursday
Queens,Long Island City/Queens Plaza,15499,146,15499,Wednesday
Brooklyn,Williamsburg (North Side),15490,255,15490,Thursday
Brooklyn,Boerum Hill,15480,25,15480,Wednesday
Brooklyn,Greenpoint,15470,112,15470,Saturday
Brooklyn,Fort Greene,15463,97,15463,Thursday
Manhattan,Hamilton Heights,15451,116,15451,Tuesday
Manhattan,Manhattanville,15317,152,15317,Thursday
Manhattan,Hamilton Heights,15134,116,15134,Monday
Manhattan,Washington Heights South,15098,244,15098,Wednesday
Brooklyn,Park Slope,14984,181,14984,Tuesday
Queens,Long Island City/Queens Plaza,14685,146,14685,Monday
Manhattan,Washington Heights South,14612,244,14612,Tuesday
Queens,Long Island City/Queens Plaza,14373,146,14373,Tuesday
Manhattan,Manhattanville,14328,152,14328,Wednesday
Brooklyn,Fort Greene,14206,97,14206,Wednesday
Brooklyn,Boerum Hill,14142,25,14142,Tuesday
Manhattan,Washington Heights South,13906,244,13906,Monday
Queens,Jackson Heights,13829,129,13829,Sunday
Brooklyn,Park Slope,13750,181,13750,Monday
Manhattan,Manhattanville,13743,152,13743,Tuesday
Brooklyn,Williamsburg (South Side),13637,256,13637,Thursday
Brooklyn,Greenpoint,13431,112,13431,Sunday
Manhattan,Manhattanville,13405,152,13405,Monday
Brooklyn,Williamsburg (North Side),13337,255,13337,Wednesday
Brooklyn,Boerum Hill,13212,25,13212,Monday
Queens,Old Astoria,13017,179,13017,Saturday
Brooklyn,Fort Greene,12892,97,12892,Tuesday
Queens,Woodside,12871,260,12871,Sunday
Queens,Woodside,12559,260,12559,Saturday
