PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID),payment_type
Staten Island,Heartland Village/Todt Hill,78,118,78,1
Queens,Flushing Meadows-Corona Park,78,93,78,4
Staten Island,Bloomfield/Emerson Hill,77,23,77,1
Bronx,West Concourse,77,247,77,4
Bronx,Soundview/Castle Hill,77,213,77,3
Queens,Forest Hills,7264,95,7264,1
Brooklyn,Prospect-Lefferts Gardens,7107,188,7107,2
Manhattan,Times Sq/Theatre District,6972,230,6972,4
Manhattan,Clinton West,6880,50,6880,3
Manhattan,Little Italy/NoLiTa,6821,144,6821,3
Queens,Elmhurst/Maspeth,286,83,286,3
Manhattan,Highbridge Park,284,120,284,1
Queens,Jackson Heights,283,129,283,4
Queens,Woodside,283,260,283,4
Brooklyn,Madison,283,149,283,2
Brooklyn,Marine Park/Mill Basin,283,155,283,2
Queens,Flushing,1673,92,1673,1
Bronx,Morrisania/Melrose,1593,167,1593,2
Manhattan,Bloomingdale,1564,24,1564,3
Bronx,Highbridge,1558,119,1558,1
Brooklyn,Greenpoint,1550,112,1550,3
Brooklyn,Windsor Terrace,1542,257,1542,2
Queens,Astoria,113665,7,113665,2
Manhattan,Chinatown,105420,45,105420,2
Queens,Sunnyside,104382,226,104382,2
Brooklyn,Downtown Brooklyn/MetroTech,100138,65,100138,1
Brooklyn,Williamsburg (North Side),99377,255,99377,1
Bronx,Riverdale/North Riverdale/Fieldston,439,200,439,1
Brooklyn,Sheepshead Bay,437,210,437,1
Queens,College Point,436,53,436,2
Brooklyn,Ocean Parkway South,430,178,430,3
Queens,Springfield Gardens North,430,218,430,2
Brooklyn,Manhattan Beach,178,150,178,2
Queens,Cambria Heights,178,38,178,1
Bronx,Allerton/Pelham Gardens,178,3,178,1
Queens,Rego Park,175,196,175,3
Queens,Laurelton,174,139,174,1
Staten Island,Stapleton,174,221,174,1
Brooklyn,Gowanus,7911,106,7911,2
Manhattan,Lenox Hill East,7835,140,7835,3
Manhattan,Yorkville West,7630,263,7630,3
Manhattan,Greenwich Village North,7599,113,7599,3
Manhattan,Greenwich Village South,7344,114,7344,3
Manhattan,Lower East Side,3050,148,3050,4
Manhattan,Hudson Sq,3041,125,3041,3
Queens,Astoria,3028,7,3028,3
Brooklyn,Red Hook,3023,195,3023,2
Queens,South Ozone Park,3002,216,3002,2
Queens,Kew Gardens,2950,134,2950,1
Manhattan,Little Italy/NoLiTa,2001,144,2001,4
Manhattan,Clinton West,1961,50,1961,4
Manhattan,Randalls Island,1934,194,1934,2
Manhattan,West Chelsea/Hudson Yards,1916,246,1916,4
Manhattan,Central Park,1911,43,1911,4
Manhattan,Yorkville East,1368,262,1368,4
Bronx,Spuyten Duyvil/Kingsbridge,1350,220,1350,2
Manhattan,SoHo,1340,211,1340,4
Bronx,Mott Haven/Port Morris,1334,168,1334,3
Manhattan,Financial District North,1309,87,1309,4
Manhattan,SoHo,652819,211,652819,1
Queens,LaGuardia Airport,642066,138,642066,2
Manhattan,West Village,632802,249,632802,2
Manhattan,Manhattan Valley,626752,151,626752,1
Manhattan,Yorkville West,625967,263,625967,2
Queens,Old Astoria,33336,179,33336,1
Queens,Queensbridge/Ravenswood,30313,193,30313,2
Manhattan,Battery Park,26638,12,26638,2
Manhattan,Battery Park,26519,12,26519,1
